id,countryId,name,hasTransfers,hasActivities,photos
880,4,Bonn,False,True,"{'header': [{'caption': 'Bonn', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
1176,4,Leipzig,True,True,"{'header': [{'caption': 'Leipzig', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
1212,4,Erfurt,True,True,"{'header': [{'caption': 'Erfurt', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
1316,4,Nuremberg,True,True,"{'header': [{'caption': 'Nuremberg', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
1325,4,Rothenburg,False,True,"{'header': [{'caption': 'Rothenburg', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
1328,4,Heidelberg,False,True,"{'header': [{'caption': 'Heidelberg', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
1346,4,Bremerhaven,False,True,"{'header': [{'caption': 'Bremerhaven', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
1441,4,Mainz,False,True,"{'header': [{'caption': 'Mainz', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
1504,4,Warnemünde,False,True,"{'header': [{'caption': 'Warnemünde', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
1573,4,Oberhausen,False,True,"{'header': [{'caption': 'Oberhausen', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
1678,4,Hannover,True,True,"{'header': [{'caption': 'Hannover', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
1681,4,Königswinter,False,True,"{'header': [{'caption': 'Königswinter', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
1687,4,Konstanz,False,True,"{'header': [{'caption': 'Konstanz', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
1693,4,Timmendorfer Strand,False,True,"{'header': [{'caption': 'Timmendorfer Strand', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
1696,4,Speyer,False,True,"{'header': [{'caption': 'Speyer', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
1834,4,Cochem,False,True,"{'header': [{'caption': 'Cochem', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
2116,4,Rostock,False,True,"{'header': [{'caption': 'Rostock', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
2366,4,Weimar,False,True,"{'header': [{'caption': 'Weimar', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
2539,4,Aachen,False,True,"{'header': [{'caption': 'Aachen', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
2739,4,Schwerin,False,True,"{'header': [{'caption': 'Schwerin', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
2746,4,Regensburg,False,True,"{'header': [{'caption': 'Regensburg', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
2747,4,Würzburg,False,True,"{'header': [{'caption': 'Würzburg', 'paths': {'original': 'https://cdn2.civitatis.com/alemania/n-a/n-a.jpg', 'thumbnail': 'https://cdn2.civitatis.com/alemania/n-a/n-a-m.jpg', 'top': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/alemania/n-a/n-a-top-m.jpg'}}]}"
