id,countryId,name,hasTransfers,hasActivities,photos
18,69,Dubai,True,True,"{'header': [{'caption': 'Dubai', 'paths': {'original': 'https://cdn2.civitatis.com/emiratos-arabes-unidos/dubai/dubai.jpg', 'thumbnail': 'https://cdn2.civitatis.com/emiratos-arabes-unidos/dubai/dubai-m.jpg', 'top': 'https://cdn2.civitatis.com/emiratos-arabes-unidos/dubai/dubai-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/emiratos-arabes-unidos/dubai/dubai-top-m.jpg'}}]}"
19,112,Rome,True,True,"{'header': [{'caption': 'Rome', 'paths': {'original': 'https://cdn2.civitatis.com/italia/roma/roma.jpg', 'thumbnail': 'https://cdn2.civitatis.com/italia/roma/roma-m.jpg', 'top': 'https://cdn2.civitatis.com/italia/roma/roma-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/italia/roma/roma-top-m.jpg'}}]}"
20,112,Florence,True,True,"{'header': [{'caption': 'Florence', 'paths': {'original': 'https://cdn2.civitatis.com/italia/florencia/florencia.jpg', 'thumbnail': 'https://cdn2.civitatis.com/italia/florencia/florencia-m.jpg', 'top': 'https://cdn2.civitatis.com/italia/florencia/florencia-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/italia/florencia/florencia-top-m.jpg'}}]}"
21,225,Istanbul,True,True,"{'header': [{'caption': 'Istanbul', 'paths': {'original': 'https://cdn2.civitatis.com/turquia/estambul/estambul.jpg', 'thumbnail': 'https://cdn2.civitatis.com/turquia/estambul/estambul-m.jpg', 'top': 'https://cdn2.civitatis.com/turquia/estambul/estambul-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/turquia/estambul/estambul-top-m.jpg'}}]}"
22,200,Singapore,True,True,"{'header': [{'caption': 'Singapore', 'paths': {'original': 'https://cdn2.civitatis.com/singapur/singapur/singapur.jpg', 'thumbnail': 'https://cdn2.civitatis.com/singapur/singapur/singapur-m.jpg', 'top': 'https://cdn2.civitatis.com/singapur/singapur/singapur-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/singapur/singapur/singapur-top-m.jpg'}}]}"
23,166,Amsterdam,True,True,"{'header': [{'caption': 'Amsterdam', 'paths': {'original': 'https://cdn2.civitatis.com/paises-bajos/amsterdam/amsterdam.jpg', 'thumbnail': 'https://cdn2.civitatis.com/paises-bajos/amsterdam/amsterdam-m.jpg', 'top': 'https://cdn2.civitatis.com/paises-bajos/amsterdam/amsterdam-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/paises-bajos/amsterdam/amsterdam-top-m.jpg'}}]}"
24,114,Tokyo,True,True,"{'header': [{'caption': 'Tokyo', 'paths': {'original': 'https://cdn2.civitatis.com/japon/tokio/tokio.jpg', 'thumbnail': 'https://cdn2.civitatis.com/japon/tokio/tokio-m.jpg', 'top': 'https://cdn2.civitatis.com/japon/tokio/tokio-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/japon/tokio/tokio-top-m.jpg'}}]}"
25,177,Porto,True,True,"{'header': [{'caption': 'Porto', 'paths': {'original': 'https://cdn2.civitatis.com/portugal/oporto/oporto.jpg', 'thumbnail': 'https://cdn2.civitatis.com/portugal/oporto/oporto-m.jpg', 'top': 'https://cdn2.civitatis.com/portugal/oporto/oporto-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/portugal/oporto/oporto-top-m.jpg'}}]}"
26,75,San Francisco,True,True,"{'header': [{'caption': 'San Francisco', 'paths': {'original': 'https://cdn2.civitatis.com/estados-unidos/san-francisco/san-francisco.jpg', 'thumbnail': 'https://cdn2.civitatis.com/estados-unidos/san-francisco/san-francisco-m.jpg', 'top': 'https://cdn2.civitatis.com/estados-unidos/san-francisco/san-francisco-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/estados-unidos/san-francisco/san-francisco-top-m.jpg'}}]}"
27,75,Miami,True,True,"{'header': [{'caption': 'Miami', 'paths': {'original': 'https://cdn2.civitatis.com/estados-unidos/miami/miami.jpg', 'thumbnail': 'https://cdn2.civitatis.com/estados-unidos/miami/miami-m.jpg', 'top': 'https://cdn2.civitatis.com/estados-unidos/miami/miami-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/estados-unidos/miami/miami-top-m.jpg'}}]}"
28,24,Brussels,True,True,"{'header': [{'caption': 'Brussels', 'paths': {'original': 'https://cdn2.civitatis.com/belgica/bruselas/bruselas.jpg', 'thumbnail': 'https://cdn2.civitatis.com/belgica/bruselas/bruselas-m.jpg', 'top': 'https://cdn2.civitatis.com/belgica/bruselas/bruselas-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/belgica/bruselas/bruselas-top-m.jpg'}}]}"
29,17,Vienna,True,True,"{'header': [{'caption': 'Vienna', 'paths': {'original': 'https://cdn2.civitatis.com/austria/viena/viena.jpg', 'thumbnail': 'https://cdn2.civitatis.com/austria/viena/viena-m.jpg', 'top': 'https://cdn2.civitatis.com/austria/viena/viena-top.jpg', 'top_responsive': 'https://cdn2.civitatis.com/austria/viena/viena-top-m.jpg'}}]}"
